exchange,shortName,industryID,industryIDv2,industryIdLevel2,industryIdLevel4,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
HOSE,Bánh kẹo BIBICA,218.0,3577,3500,3577,Thực phẩm và đồ uống,Food & Beverage,1999,1655.0,0.0,0.008,http://www.bibica.com.vn,2.4,-0.021,-0.029,-0.251,18.8,18.8,CT,BBC,,,,
HOSE,XD và GT Bình Dương,181.0,2357,2300,2357,Xây dựng và Vật liệu,Construction & Materials,2002,131.0,1927.0,0.013,http://www.becamexbce.com.vn,2.1,0.02,0.028,-0.172,35.0,35.0,CT,BCE,,,,
HOSE,Bamboo Capital,299.0,8775,8700,8775,Dịch vụ tài chính,Financial Services,2011,82.0,41359.0,0.021,https://www.bamboocap.com.vn,2.6,0.033,0.011,0.117,533.5,533.5,CT,BCG,,,,
HOSE,Becamex IDC,336.0,8633,8600,8633,Bất động sản,Real Estate,2006,3585.0,3520.0,0.02,https://becamex.com.vn,2.3,0.001,0.025,-0.362,1035.0,1035.0,CT,BCM,,,,
HOSE,Phân bón Bình Điền,151.0,1357,1300,1357,Hóa chất,Chemicals,2011,1161.0,1800.0,0.061,https://binhdien.com,2.6,0.003,-0.029,0.551,57.2,57.2,CT,BFC,,,,
HOSE,HABECO,214.0,3533,3500,3533,Thực phẩm và đồ uống,Food & Beverage,2003,514.0,1001.0,0.176,http://www.habeco.com.vn,2.3,-0.031,-0.059,-0.25,231.8,231.8,CT,BHN,,,,
HOSE,Bảo hiểm BIDV,292.0,8536,8500,8536,Bảo hiểm,Insurance,1999,1299.0,1162.0,0.443,http://www.bic.vn,2.9,-0.033,0.026,-0.002,117.3,117.3,BH,BIC,,,,
HOSE,BIDV,289.0,8355,8300,8355,Ngân hàng,Banks,1993,28836.0,36773.0,0.173,https://www.bidv.com.vn,3.0,-0.004,-0.041,0.078,5700.4,5700.4,NH,BID,,,,
HOSE,Đầu tư BKG Việt Nam,228.0,3767,3700,3767,Hàng cá nhân & Gia dụng,Personal & Household Goods,2015,295.0,0.0,0.002,http://www.bkgvietnam.com,,-0.027,-0.041,-0.017,68.2,68.2,CT,BKG,,,,
HOSE,Khoáng sản Bình Định,166.0,1775,1700,1775,Tài nguyên Cơ bản,Basic Resources,2001,197.0,0.0,0.051,http://www.bimico.vn,2.8,-0.031,-0.018,0.381,12.4,12.4,CT,BMC,,,,
HOSE,Bảo hiểm Bảo Minh,292.0,8536,8500,8536,Bảo hiểm,Insurance,2004,1640.0,0.0,0.314,https://www.baominh.com.vn,2.5,0.009,0.002,-0.203,120.6,120.6,BH,BMI,,,,
HOSE,Nhựa Bình Minh,180.0,2353,2300,2353,Xây dựng và Vật liệu,Construction & Materials,,1339.0,0.0,0.858,http://www.binhminhplastic.com,3.5,0.037,-0.02,0.902,81.9,81.9,CT,BMP,,,,
HOSE,Cao su Bến Thành,150.0,1353,1300,1353,Hóa chất,Chemicals,1975,220.0,462.0,0.005,http://www.berubco.com.vn,,0.04,0.042,0.328,12.4,12.4,CT,BRC,,,,
HOSE,Chứng khoán BIDV,300.0,8777,8700,8777,Dịch vụ tài chính,Financial Services,2000,290.0,5288.0,0.401,http://www.bsc.com.vn,2.7,-0.011,-0.008,1.987,202.8,202.8,CK,BSI,,,,
HOSE,Nhiệt điện Bà Rịa,274.0,7535,7500,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2007,239.0,1048.0,0.085,http://www.btp.com.vn,2.9,-0.015,0.026,0.302,60.5,60.5,CT,BTP,,,,
HOSE,TM - DV Bến Thành,250.0,5373,5300,5373,Bán lẻ,Retail,2004,137.0,473.0,0.049,https://benthanhtsc.com,2.8,-0.021,0.011,-0.179,13.5,13.5,CT,BTT,,,,
HOSE,Tập đoàn Bảo Việt,294.0,8575,8500,8575,Bảo hiểm,Insurance,2007,6413.0,8682.0,0.264,https://www.baoviet.com.vn,2.3,0.0,-0.017,-0.279,742.3,742.3,BH,BVH,,,,
HOSE,Nước - Môi trường Bình Dương,277.0,7577,7500,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2006,1120.0,2862.0,0.167,http://www.biwase.com.vn,2.4,-0.008,0.012,-0.202,192.9,192.9,CT,BWE,,,,
HOSE,CIC39,180.0,2353,2300,2353,Xây dựng và Vật liệu,Construction & Materials,1993,226.0,3378.0,0.01,http://www.cic39.vn,2.5,0.008,0.02,-0.144,15.0,15.0,CT,C32,,,,
HOSE,Xây dựng 47,181.0,2357,2300,2357,Xây dựng và Vật liệu,Construction & Materials,2005,690.0,1702.0,0.0,http://www.xaydung47.vn,2.3,-0.018,-0.02,-0.018,36.3,36.3,CT,C47,,,,
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,2c2109f250714d5a
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,ea2fb021379ab85f
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,7b7bf59bcd244da5
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,8e7b518f40b6572a
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,a0aa5cf32535429c
HOSE,Dây cáp điện Việt Nam,186.0,2733,2700,2733,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1998,1020.0,1369.0,0.003,https://cadivi.vn,2.7,-0.029,-0.034,0.434,57.5,57.6,CT,CAV,,,,
HOSE,CIDICO,275.0,7573,7500,7573,"Điện, nước & xăng dầu khí đốt",Utilities,2002,94.0,411.0,0.024,http://www.cidico.com.vn,2.7,-0.011,0.194,-0.143,17.5,17.7,CT,CCI,,,,
HOSE,Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,336.0,8633,8600,8633,Bất động sản,Real Estate,2007,79.0,5783.0,0.01,http://www.pvcl.com.vn,3.1,0.179,0.211,0.655,59.6,59.6,CT,CCL,,,,
HOSE,Chương Dương Corp,181.0,2357,2300,2357,Xây dựng và Vật liệu,Construction & Materials,2008,250.0,963.0,0.045,https://chuongduongcorp.vn,2.1,-0.018,-0.046,-0.031,22.0,22.0,CT,CDC,,,,
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,48e9532a97dac659
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,a0d2448a3bfcf6e9
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,4cb334e770ba1866
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,2d266b4884321866
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,7c091eef06457d53
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,a79679e3a04839fd
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,03ebae2ad731ca81
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,8f0cc86757253ed6
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,8e8b7455440fc0ba
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,e8d2b5e176948dd5
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,0fe82b7ad004a73f
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,2256d59bb3eb8b2f
HOSE,Thủy điện Miền Trung,274.0,7535,7500,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2004,125.0,3939.0,0.038,https://chp.vn,3.7,0.036,0.038,0.142,146.9,146.9,CT,CHP,,,,
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,449ceedda9000fdb
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,abc9d119f9670133
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,30449079856e7732
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,747dc579dd9fdd18
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,72b1fce8e086ff54
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,a3d777a20aee87d8
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,f1a0888ccb69e900
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,1fc4821e85a3b8dc
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,992a47569d164b1d
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,49fb3e5916daa711
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,2f60564016a96a2c
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,e4a621757ba470f5
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,e07880cf972178b6
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,bd3626ded14e6ab8
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,7b5f48385d27fda3
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,db590ae0c3be8fcd
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,ada10744d5ccde4c
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,b17def23c1f970c0
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,51b2c55c02c309b6
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,8461988da0dcb1a4
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,00345cc3134fc498
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,e46e00c0bb778ac8
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,6fc0de61aac23bb1
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,9abdd953a2d96789
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,ec5a29f6b225a751
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,1f4e079f841753b7
HOSE,Xây dựng COMA 18,181.0,2357,2300,2357,Xây dựng và Vật liệu,Construction & Materials,2005,65.0,308.0,0.001,http://www.coma18.vn,2.7,-0.004,-0.027,0.593,31.5,31.5,CT,CIG,,,,
HOSE,Hạ tầng Kỹ thuật TP.HCM,181.0,2357,2300,2357,Xây dựng và Vật liệu,Construction & Materials,2001,760.0,39257.0,0.072,https://cii.com.vn,2.3,-0.021,0.013,0.248,318.4,318.4,CT,CII,,,,
HOSE,Xây dựng Kiên Giang,336.0,8633,8600,8633,Bất động sản,Real Estate,2013,200.0,10601.0,0.0,https://cicgroups.com,2.2,-0.013,-0.044,-0.153,95.3,95.3,CT,CKG,,,,
HOSE,Thuốc lá Cát Lợi,229.0,3785,3700,3785,Hàng cá nhân & Gia dụng,Personal & Household Goods,2003,307.0,826.0,0.026,http://www.catloi.com.vn,2.9,-0.023,0.001,0.127,26.2,26.2,CT,CLC,,,,
HOSE,Cảng Cát Lái,193.0,2777,2700,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2007,92.0,775.0,0.108,http://catlaiport.com.vn,3.1,0.014,-0.017,0.45,34.0,34.0,CT,CLL,,,,
HOSE,Cấp nước Chợ Lớn,277.0,7577,7500,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2007,459.0,433.0,0.048,http://www.capnuoccholon.com.vn,3.0,-0.021,-0.039,0.515,13.0,13.0,CT,CLW,,,,
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,88aa5b1c20d9f959
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,b1ccb265395ade58
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,e76a47f6de268ba5
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,6681a3ea4d1a76af
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,f6ac61b5a029f4f7
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,6800f225eb11bbc5
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,1fa9db22a7e8a2d1
